trial_id	kind	target_mode	adapter	loss	steps	val_cd	best_cd	runtime_sec	status	notes	out_dir
p4_oracle_norm_nova_input_frustum_k2_fps2048_s2_step600	oracle	nova_input_frustum	tokens	oracle_flow	600	0.76464893	0.76464893	33.9	keep	K2 GT-construction sweep: union of input frusta, normalized checkpoint target, FPS2048	experiments/probe3d/result/probe_trials/p4_oracle_norm_nova_input_frustum_k2_fps2048_s2_step600
p4_k2_anchor_mlp_l4_flow_resume_step2000	adapter	anchor_frustum	mlp_l4_h1024	nova_flow	2000	0.85699082	0.85699082	445.2	keep	K=2 MLP-L4 longer run after user requested more steps: resume native NOVA flow from step1000 to step2000	experiments/probe3d/result/probe_trials/p4_k2_anchor_mlp_l4_flow_resume_step2000
p4_k2_anchor_mlp_l4_hybrid005_step2000	adapter	anchor_frustum	mlp_l4_h1024	flow_chamfer_hybrid	2000	0.66678675	0.66678675	1700.5	keep	K=2 MLP-L4 longer loss ablation: native flow plus 0.05 rollout Chamfer, 2000 steps	experiments/probe3d/result/probe_trials/p4_k2_anchor_mlp_l4_hybrid005_step2000
p4_k2_anchor_mlp_l4_chamfer_step2000	adapter	anchor_frustum	mlp_l4_h1024	chamfer_sample	2000	0.54158844	0.54158844	1623.7	keep	K=2 MLP-L4 longer loss ablation: direct rollout Chamfer diagnostic, 2000 steps	experiments/probe3d/result/probe_trials/p4_k2_anchor_mlp_l4_chamfer_step2000
p4_oracle_norm_covered_ge2_k2_fps2048_s2_step600	oracle	covered_by_ge2	tokens	oracle_flow	600	0.12180443	0.12180443	36.6	keep	K2 GT-construction sweep: points covered by both selected views	experiments/probe3d/result/probe_trials/p4_oracle_norm_covered_ge2_k2_fps2048_s2_step600
p4_oracle_norm_anchor_margin15_k2_fps2048_s2_step600	oracle	anchor_frustum_margin	tokens	oracle_flow	600	0.23195412	0.23195412	33.8	keep	K2 GT-construction sweep: expanded anchor-view frustum margin=1.5	experiments/probe3d/result/probe_trials/p4_oracle_norm_anchor_margin15_k2_fps2048_s2_step600
p4_oracle_norm_nova_per_view_frustum_anchor_zpos_k2_fps2048_s2_step600	oracle	nova_per_view_frustum_anchor_zpos	tokens	oracle_flow	600	1.75899525	1.75899525	36.4	keep	K2 GT-construction sweep: per-view frustum targets with anchor positive-z filtering	experiments/probe3d/result/probe_trials/p4_oracle_norm_nova_per_view_frustum_anchor_zpos_k2_fps2048_s2_step600
p4_oracle_norm_nova_per_view_ldi2_k2_fps2048_s2_step600	oracle	nova_per_view_ldi2	tokens	oracle_flow	600	1.25360312	1.25360312	34.3	keep	K2 GT-construction sweep: per-view LDI-style target with 2 depth layers	experiments/probe3d/result/probe_trials/p4_oracle_norm_nova_per_view_ldi2_k2_fps2048_s2_step600
p4_oracle_norm_nova_per_view_ldi4_k2_fps2048_s2_step600	oracle	nova_per_view_ldi4	tokens	oracle_flow	600	1.54595157	1.54595157	36.0	keep	K2 GT-construction sweep: per-view LDI-style target with 4 depth layers at FPS2048	experiments/probe3d/result/probe_trials/p4_oracle_norm_nova_per_view_ldi4_k2_fps2048_s2_step600
p4_oracle_norm_nova_per_view_ldi8_k2_fps2048_s2_step600	oracle	nova_per_view_ldi8	tokens	oracle_flow	600	1.02808794	1.02808794	33.9	keep	K2 GT-construction sweep: per-view LDI-style target with 8 depth layers	experiments/probe3d/result/probe_trials/p4_oracle_norm_nova_per_view_ldi8_k2_fps2048_s2_step600
p4_k2_covered_ge2_mlp_l4_flow_step2000	adapter	covered_by_ge2	mlp_l4_h1024	nova_flow	2000	1.70960556	1.70960556	854.0	keep	overnight longer K2 GT/loss sweep: covered_by_ge2, MLP-L4-H1024, native NOVA flow, 2000 steps	experiments/probe3d/result/probe_trials/p4_k2_covered_ge2_mlp_l4_flow_step2000
p4_k2_covered_ge2_mlp_l4_hybrid005_step2000	adapter	covered_by_ge2	mlp_l4_h1024	flow_chamfer_hybrid	2000	1.23564933	1.23564933	1691.9	keep	overnight longer K2 GT/loss sweep: covered_by_ge2, MLP-L4-H1024, native flow plus 0.05 rollout Chamfer, 2000 steps	experiments/probe3d/result/probe_trials/p4_k2_covered_ge2_mlp_l4_hybrid005_step2000
p4_k2_input_frustum_mlp_l4_flow_step2000	adapter	nova_input_frustum	mlp_l4_h1024	nova_flow	2000	0.95592712	0.95592712	881.6	keep	overnight longer K2 GT/loss sweep: nova_input_frustum, MLP-L4-H1024, native NOVA flow, 2000 steps	experiments/probe3d/result/probe_trials/p4_k2_input_frustum_mlp_l4_flow_step2000
p4_k2_input_frustum_mlp_l4_hybrid005_step2000	adapter	nova_input_frustum	mlp_l4_h1024	flow_chamfer_hybrid	2000	0.78693782	0.78693782	1657.1	keep	overnight longer K2 GT/loss sweep: nova_input_frustum, MLP-L4-H1024, native flow plus 0.05 rollout Chamfer, 2000 steps	experiments/probe3d/result/probe_trials/p4_k2_input_frustum_mlp_l4_hybrid005_step2000
p4_k2_anchor_margin15_mlp_l4_flow_step2000	adapter	anchor_frustum_margin	mlp_l4_h1024	nova_flow	2000	0.96307165	0.96307165	852.9	keep	overnight longer K2 GT/loss sweep: anchor_frustum_margin, MLP-L4-H1024, native NOVA flow, 2000 steps	experiments/probe3d/result/probe_trials/p4_k2_anchor_margin15_mlp_l4_flow_step2000
p4_k2_anchor_margin15_mlp_l4_hybrid005_step2000	adapter	anchor_frustum_margin	mlp_l4_h1024	flow_chamfer_hybrid	2000	0.76487390	0.76487390	1709.3	keep	overnight longer K2 GT/loss sweep: anchor_frustum_margin, MLP-L4-H1024, native flow plus 0.05 rollout Chamfer, 2000 steps	experiments/probe3d/result/probe_trials/p4_k2_anchor_margin15_mlp_l4_hybrid005_step2000
p5_k2_adjacent_anchor_mlp_l4_chamfer_step1000	adapter	anchor_frustum	mlp_l4_h1024	chamfer_sample	1000	0.53059699	0.53059699	851.8	keep	K=2 adjacent-pair control after discovering old max_interval=30 on frame_skip=20 data; anchor target + direct Chamfer	experiments/probe3d/result/probe_trials/p5_k2_adjacent_anchor_mlp_l4_chamfer_step1000
p5_k2_adjacent_covered_ge2_mlp_l4_hybrid005_step1000	adapter	covered_by_ge2	mlp_l4_h1024	flow_chamfer_hybrid	1000	0.68578866	0.68578866	853.4	keep	K=2 adjacent-pair control after discovering old max_interval=30 on frame_skip=20 data; overlap-sensitive covered_by_ge2 + hybrid loss	experiments/probe3d/result/probe_trials/p5_k2_adjacent_covered_ge2_mlp_l4_hybrid005_step1000
p6_k2_i1_oracle_anchor_s2_step600	oracle	anchor_frustum	tokens	oracle_flow	600	0.13334342	0.13334342	36.3	keep	corrected dataloader oracle: K=2, max_interval=1 on frame_skip=20 processed ScanNet, target=anchor_frustum	experiments/probe3d/result/probe_trials/p6_k2_i1_oracle_anchor_s2_step600
p6_k2_i1_oracle_covered_ge2_s2_step600	oracle	covered_by_ge2	tokens	oracle_flow	600	0.06886154	0.06886154	35.3	keep	corrected dataloader oracle: K=2, max_interval=1 on frame_skip=20 processed ScanNet, target=covered_by_ge2	experiments/probe3d/result/probe_trials/p6_k2_i1_oracle_covered_ge2_s2_step600
p6_k2_i1_oracle_input_frustum_s2_step600	oracle	nova_input_frustum	tokens	oracle_flow	600	0.11214603	0.11214603	35.3	keep	corrected dataloader oracle: K=2, max_interval=1 on frame_skip=20 processed ScanNet, target=nova_input_frustum	experiments/probe3d/result/probe_trials/p6_k2_i1_oracle_input_frustum_s2_step600
p6_k4_i1_oracle_anchor_s2_step600	oracle	anchor_frustum	tokens	oracle_flow	600	0.11520538	0.11520538	36.0	keep	corrected dataloader oracle: K=4, max_interval=1 on frame_skip=20 processed ScanNet, target=anchor_frustum	experiments/probe3d/result/probe_trials/p6_k4_i1_oracle_anchor_s2_step600
p6_k4_i1_oracle_covered_ge2_s2_step600	oracle	covered_by_ge2	tokens	oracle_flow	600	0.85016728	0.85016728	36.2	keep	corrected dataloader oracle: K=4, max_interval=1 on frame_skip=20 processed ScanNet, target=covered_by_ge2	experiments/probe3d/result/probe_trials/p6_k4_i1_oracle_covered_ge2_s2_step600
p6_k4_i1_oracle_input_frustum_s2_step600	oracle	nova_input_frustum	tokens	oracle_flow	600	1.37526729	1.37526729	36.2	keep	corrected dataloader oracle: K=4, max_interval=1 on frame_skip=20 processed ScanNet, target=nova_input_frustum	experiments/probe3d/result/probe_trials/p6_k4_i1_oracle_input_frustum_s2_step600
p6_k2_i1_anchor_mlp_l4_flow_step1000	adapter	anchor_frustum	mlp_l4_h1024	nova_flow	1000	0.75662778	0.75662778	444.0	keep	corrected dataloader adapter matrix: K=2, max_interval=1, target=anchor_frustum, loss=nova_flow	experiments/probe3d/result/probe_trials/p6_k2_i1_anchor_mlp_l4_flow_step1000
p6_k2_i1_anchor_mlp_l4_hybrid005_step1000	adapter	anchor_frustum	mlp_l4_h1024	flow_chamfer_hybrid	1000	0.72299022	0.72299022	973.3	keep	corrected dataloader adapter matrix: K=2, max_interval=1, target=anchor_frustum, loss=flow_chamfer_hybrid	experiments/probe3d/result/probe_trials/p6_k2_i1_anchor_mlp_l4_hybrid005_step1000
p7_k2_i1_anchor_ca_l2_h512_chamfer_step1000	adapter	anchor_frustum	cross_attention_l2_h512	chamfer_sample	1000	0.54222615	0.54222615	877.8	keep	K2 interval=1 cross-attention candidate after fixed-30 MLP failure audit; direct Chamfer diagnostic, evaluate later with fixed-30 robust metrics/renders.	experiments/probe3d/result/probe_trials/p7_k2_i1_anchor_ca_l2_h512_chamfer_step1000
